Title, Singer
I'll Be There For You, Friends Theme Song
All of me, John Legend
Rolling in the deep, Adele
Baby, Justin Bieber
Chandelier, Sia
I knew you were trouble, Taylor Swift
We are the champion, Queen
All i want for christmas, Mariah Carey
7 rings, Ariana Grande
I Will Always Love You, Whitney Houston
Watermelon Sugar, Harry Styles
Jingle Bell Rock, Bobby Helms
Easy on me, Adelle
Last Christmas, Wham!
Let it show, Dean Martin
Shape of you, Ed Sheeran
Thinking Out Loud, Ed Sheeran
Galway Girl, Ed Sheeran
Give me love, Ed Sheeran
I see fire, Ed Sheeran
The A team, Ed Sheeran
Thank U Next, Ariana Grande
God is a woman, Ariana Grande
No tears left to cry, Ariana Grande
Break up with your girlfriend I'm bored, Ariana Grande
Lovely, Billie Eilish
Ocean Eyes, Billie Eilish
Bad Guy, Billie Eilish
No Time to Die, Billie Eilish
Happier Than Ever, Billie Eilish
Wrecking Ball, Miley Cyrus
The Climb, Miley Cyrus
We can't stop, Miley Cyrus
Malibu, Miley Cyrus,
Who owns my heart, Miley Cyrus
Sign of the Times, Harry Styles
Paranoia, Daria
Smells Like Teen Spirit, Nirvana
Billie Jean, Michael Jackson
Dancing Queen, ABBA
No Woman No Cry, Bob Marley
Hallelujah, Jeff Buckley
Every Breath You Take, The Police
Levitating, Dua Lipa,
New Rules, Dua Lipa
One Kiss, Dua Lipa
Let You love me, Rita Ora
Break my heart, Dua Lipa
Believer, Imagine Dragons
Demons, Imagine Dragons
Thunder, Imagine Dragons
Radioactive, Imagine Dragons
Seniorita, Shawn Mendes
There's Nothing Holdin' me back, Shawn Mendes
Treat You Better, Shawn Mendes
Stitches, Shawn Mendes
We dont talk anymore, Charlie Puth
Attention, Charlie Puth
7 Years, Lukas Graham
See you again, Wiz Khalifa & Charlie Puth
Old Town Road, Lil Nas X
Shallow, Lady Gafa

